,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea
0,https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-gotlandsgatan-66-1179563,2 maj 2020,"Katarina,
  Stockholms kommu",88462,5850000,2,65,2760,7488,1913,5750000,
1,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-sofia-stockholms-kommun-bondegatan-8,-3,5-tr-1176315",27 april 2020,"Katarina/Sofia,
  Stockholms kommu",94737,4895000,2,57,3132,,1904,5400000,
2,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-maria-stockholms-kommun-tideliusgatan-57,-5-5-tr-1175415",24 april 2020,"Södermalm- Maria,
  Stockholms kommu",66462,3995000,2,65,2968,,1968,4320000,
3,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-sofia-stockholms-kommun-bondegatan-1e,-3-tr-1174519",23 april 2020,"Katarina/Sofia,
  Stockholms kommu",90574,5150000,2,61,3379,,1890,5525000,
4,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-sofia-stockholms-kommun-rutger-fuchsgatan-2,-3-tr-1170372",16 april 2020,"Södermalm Sofia,
  Stockholms kommu",80484,4495000,2,62,2435,6800,1930,4990000,
5,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-folkungagatan-84,-5-tr-1170897",16 april 2020,"Södermalm,
  Stockholms kommu",84821,4750000,2,56,2226,7000,1914,4750000,
6,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-gotgatan-106,-4tr-1168696",9 april 2020,"Katarina,
  Stockholms kommu",58696,3850000,2,69,2948,5200,1983,4050000,
7,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-olandsgatan-44-1164981,1 april 2020,"Södermalm,
  Stockholms kommu",104839,5975000,2,62,3408,2850,1928,6500000,
8,"https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-katarina-stockholms-kommun-tjarhovsgatan-50,-3tr-1164446",1 april 2020,"Södermalm - Katarina,
  Stockholms kommu",89821,4695000,2,56,1793,5400,1883,5030000,
9,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-katarina-stockholms-kommun-allhelgonagatan-7-1164035,31 mars 2020,"Södermalm - Katarina,
  Stockholms kommu",68966,4200000,2,58,2349,7200,1935,4000000,
10,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-sofia-norra-hammarbyhamnen-stockholms-kommun-tullgardsgatan-8-1163173,28 mars 2020,"Södermalm - Sofia / Norra Hammarbyhamnen,
  Stockholms kommu",71567,4795000,2,67,2694,6480,1993,4795000,
11,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-katarina-bangata-58,-6tr-1163008",27 mars 2020,"Katarina,
  Stockholms kommu",100000,5750000,2,63,2304,6500,1930,6300000,
12,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-asogatan-194-1160948,24 mars 2020,"Södermalm,
  Stockholms kommu",84559,4995000,2,68,3215,6400,1930,5750000,
13,"https://www.hemnet.se/salda/lagenhet-2rum-sofia-stockholms-kommun-ringvagen-106,-1-tr-1160083",20 mars 2020,"Sofia,
  Stockholms kommu",84375,4750000,2,64,1948,7000,1912,5400000,
14,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-stockholms-kommun-moregatan-6,-2tr-1159020",19 mars 2020,"Katarina,
  Stockholms kommu",88793,4250000,2,58,3455,4200,1936,5150000,
15,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-katarina-stockholms-kommun-gotgatan-128-1158384,18 mars 2020,"Södermalm Katarina,
  Stockholms kommu",68615,3795000,2,65,2799,,1984,4460000,
