,area,price_sqm,asking_price,nbr_rooms,living_space,rent,additional,year_built,closing_price,bi_area,price_inc_percent,time
21,kungsholmen,87059.0,3295000.0,2.0,42.5,2244.0,0.0,1933.0,3700000,0.0,0.1229135053110774,0.9988253719655442
22,gardet,124464.0,2095000.0,1.0,23.3,1093.0,6236.0,1938.0,2900000,0.0,0.3842482100238663,0.9988253719655442
23,gardet,93333.0,2875000.0,1.0,30.0,1625.0,0.0,2016.0,2800000,0.0,-0.026086956521739132,0.9988253719655442
24,ostermalm,77551.0,7600000.0,3.0,98.0,5450.0,6000.0,1883.0,7600000,0.0,0.0,0.9988253719655442
25,gardet,101389.0,2990000.0,2.0,36.0,1761.0,4560.0,1938.0,3650000,0.0,0.22073578595317725,0.9988253719655442
26,gardet,89855.0,6200000.0,2.0,69.0,3234.0,0.0,2007.0,6200000,0.0,0.0,0.9988253719655442
27,gardet,87181.0,7995000.0,3.0,94.0,4526.0,7200.0,2007.0,8195000,0.0,0.025015634771732333,0.9988253719655442
28,kungsholmen,75114.0,3200000.0,2.0,44.0,2533.0,1800.0,1934.0,3305000,0.0,0.0328125,0.9988253719655442
29,gardet,88261.0,3400000.0,2.0,46.0,2098.0,7200.0,1935.0,4060000,0.0,0.19411764705882356,0.9988253719655442
30,kungsholmen,71429.0,3500000.0,2.0,49.0,2244.0,1020.0,1931.0,3500000,0.0,0.0,0.9988253719655442
31,vasastan,101613.0,5495000.0,2.0,62.0,2211.0,5208.0,1907.0,6300000,0.0,0.1464968152866242,0.9988253719655442
32,vasastan,96429.0,2595000.0,1.0,28.0,1395.0,3700.0,1929.0,2700000,0.0,0.04046242774566474,0.9988253719655442
33,vasastan,103636.0,2995000.0,1.0,33.0,1795.0,3480.0,1929.0,3420000,0.0,0.1419031719532554,0.9988253719655442
34,vasastan,96324.0,5995000.0,2.0,68.0,2498.0,4800.0,1889.0,6550000,0.0,0.09257714762301918,0.9988253719655442
35,lilla_essingen,86000.0,2495000.0,1.0,35.0,2486.0,3620.0,1939.0,3010000,0.0,0.20641282565130264,0.9984338292873923
36,kungsholmen,75510.0,7995000.0,4.0,98.0,3984.0,9204.0,2010.0,7400000,0.0,-0.07442151344590367,0.9984338292873923
37,gardet,88732.0,6195000.0,3.0,71.0,2595.0,0.0,1991.0,6300000,0.0,0.01694915254237288,0.9984338292873923
38,vasastan,77778.0,4095000.0,2.0,54.0,3230.0,4860.0,2018.0,4200000,0.0,0.02564102564102564,0.9984338292873923
39,sodermalm,98039.0,5000000.0,2.0,51.0,3518.0,3600.0,1909.0,5000000,0.0,0.0,0.9980422866092404
40,kungsholmen,69624.0,4700000.0,2.0,66.5,3313.0,7824.0,1931.0,4630000,0.0,-0.014893617021276596,0.9980422866092404
41,sodermalm,115789.0,2200000.0,1.0,19.0,2128.0,0.0,1940.0,2200000,0.0,0.0,0.9980422866092404
42,ostermalm,79951.0,6500000.0,4.0,81.3,2482.0,6662.0,1973.0,6500000,0.0,0.0,0.9980422866092404
43,ostermalm,104767.0,3995000.0,2.0,43.0,1673.0,0.0,1885.0,4505000,0.0,0.1276595744680851,0.9980422866092404
44,sodermalm,87500.0,2895000.0,1.0,40.0,1905.0,3900.0,1973.0,3500000,0.0,0.20898100172711573,0.9980422866092404
45,gamla_stan,107188.0,3430000.0,1.0,32.0,2925.0,6000.0,1680.0,3430000,0.0,0.0,0.9980422866092404
46,sodermalm,88235.0,2850000.0,1.0,34.0,944.0,3956.0,1963.0,3000000,0.0,0.05263157894736842,0.9976507439310884
47,ostermalm,111111.0,6750000.0,2.0,63.0,2027.0,0.0,1938.0,7000000,0.0,0.037037037037037035,0.9976507439310884
48,vasastan,72984.0,4395000.0,2.0,62.0,3004.0,0.0,1973.0,4525000,0.0,0.02957906712172924,0.9972592012529365
49,sodermalm,72407.0,3250000.0,2.0,54.0,1659.0,0.0,1883.0,3910000,0.0,0.20307692307692307,0.9972592012529365
50,ostermalm,108511.0,5100000.0,2.0,47.0,2559.0,5400.0,1889.0,5100000,0.0,0.0,0.9972592012529365
51,stora_essingen,71121.0,3995000.0,2.5,58.0,3330.0,4500.0,1935.0,4125000,0.0,0.032540675844806015,0.9972592012529365
52,vasastan,71429.0,6000000.0,3.0,84.0,4172.0,6500.0,1968.0,6000000,0.0,0.0,0.9972592012529365
53,stora_essingen,71638.0,3795000.0,2.0,58.0,3014.0,0.0,1939.0,4155000,0.0,0.09486166007905138,0.9968676585747847
54,kungsholmen,93860.0,4500000.0,2.0,57.0,2427.0,4440.0,1934.0,5350000,0.0,0.18888888888888888,0.9968676585747847
55,vasastan,84167.0,4995000.0,2.0,60.0,1490.0,7116.0,1968.0,5050000,0.0,0.011011011011011013,0.9968676585747847
56,vasastan,108710.0,2650000.0,1.0,31.0,1493.0,6948.0,1906.0,3370000,0.0,0.2716981132075472,0.9968676585747847
57,sodermalm,103571.0,2400000.0,1.0,28.0,1946.0,4680.0,1936.0,2900000,0.0,0.20833333333333331,0.9968676585747847
58,sodermalm,80000.0,2995000.0,1.5,40.0,1803.0,3420.0,1929.0,3200000,0.0,0.06844741235392321,0.9968676585747847
