,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
563,2019-09-20,Södermalm,81443,4000000,2.0,48.5,3046,3720,1903,3950000
564,2019-09-20,Vasastan,94097,6195000,2.0,72.0,1334,5400,1886,6775000
565,2019-09-20,Södermalm,82400,4795000,3.0,62.5,3516,6312,1944,5150000
566,2019-09-20,Vasastan,87075,3995000,2.0,53.0,3329,5900,1936,4615000
567,2019-09-20,Hagastaden,84146,3450000,2.0,41.0,2610,6500,2018,3450000
568,2019-09-20,Vasastan,98250,6995000,3.0,80.0,2746,13200,1888,7860000
569,2019-09-20,Kungsholmen,72561,5875000,3.0,82.0,5881,4800,1997,5950000
570,2019-09-20,Östermalm,112903,9950000,3.0,93.0,989,6000,1882,10500000
571,2019-09-20,Östermalm,114407,13500000,4.0,118.0,2833,5000,1962,13500000
572,2019-09-20,Norrmalm,93878,4600000,1.5,49.0,1483,5000,1929,4600000
234,2019-09-20,Kungsholmen,90270,2950000,2.0,37.0,2437,0,1700,3340000
233,2019-09-20,Östermalm,113043,4600000,2.0,46.0,2014,0,1924,5200000
227,2019-09-20,Vasastan,77381,6950000,3.0,105.0,4269,0,1912,8125000
232,2019-09-20,Södermalm,87119,2250000,1.0,29.5,1275,0,5000,2570000
231,2019-09-20,Södermalm,98214,2395000,1.0,28.0,1408,0,3800,2750000
230,2019-09-20,Östermalm,107843,9995000,3.0,102.0,3821,0,1932,11000000
220,2019-09-20,Stockholm,80116,5875000,3.0,86.5,4895,0,1968,6930000
228,2019-09-20,Vasastan,107143,6495000,3.0,70.0,1781,0,1930,7500000
229,2019-09-20,Östermalm,104286,10950000,4.0,105.0,4338,0,1929,10950000
226,2019-09-20,,97826,4500000,2.0,46.0,2235,0,1924,4500000
225,2019-09-20,Vasastan,115909,4395000,2.0,44.0,1828,0,1880,5100000
224,2019-09-20,,100000,2995000,1.0,34.0,1669,0,1942,3400000
223,2019-09-20,Östermalm,100000,6875000,3.0,75.0,4138,0,1882,7500000
222,2019-09-20,Kungsholmen,95122,3250000,2.0,41.0,1850,0,1937,3900000
221,2019-09-20,Södermalm,87222,3695000,2.0,45.0,1848,0,1929,3925000
235,2019-09-19,Kungsholmen,77763,5795000,3.0,76.0,3518,0,2012,5910000
573,2019-09-19,Södermalm,63579,5995000,4.0,95.0,4043,11719,1982,6040000
574,2019-09-19,Vasastan,93077,5495000,2.0,65.0,2471,9036,1905,6050000
575,2019-09-19,Östermalm,85333,6350000,3.0,75.0,1935,4800,1959,6400000
576,2019-09-19,Södermalm,92373,4495000,2.0,59.0,3188,5400,1919,5450000
577,2019-09-19,Södermalm,88814,2250000,1.0,29.5,1284,2400,1964,2620000
578,2019-09-19,Sofia,88971,2595000,1.5,34.0,1781,4800,1911,3025000
