,living_space,rent,bi_area,time,nbr_rooms,additional,closing_price,area_gamla_stan,area_gardet,area_kungsholmen,area_lilla_essingen,area_ostermalm,area_sodermalm,area_stora_essingen,area_vasastan
53,58.0,3014.0,0.0,0.9968676585747847,2.0,0.0,4155000,0,0,0,0,0,0,1,0
54,57.0,2427.0,0.0,0.9968676585747847,2.0,4440.0,5350000,0,0,1,0,0,0,0,0
55,60.0,1490.0,0.0,0.9968676585747847,2.0,7116.0,5050000,0,0,0,0,0,0,0,1
56,31.0,1493.0,0.0,0.9968676585747847,1.0,6948.0,3370000,0,0,0,0,0,0,0,1
57,28.0,1946.0,0.0,0.9968676585747847,1.0,4680.0,2900000,0,0,0,0,0,1,0,0
58,40.0,1803.0,0.0,0.9968676585747847,1.5,3420.0,3200000,0,0,0,0,0,1,0,0
59,82.0,4019.0,0.0,0.9968676585747847,3.0,5051.0,6300000,0,0,0,0,0,1,0,0
60,105.0,5427.0,0.0,0.9968676585747847,3.0,11000.0,10050000,0,0,0,0,0,1,0,0
61,57.0,1380.0,0.0,0.9968676585747847,2.0,6000.0,4860000,0,0,1,0,0,0,0,0
62,47.0,2449.0,0.0,0.9968676585747847,2.0,0.0,3750000,0,1,0,0,0,0,0,0
63,34.0,1776.0,0.0,0.9968676585747847,2.0,0.0,2925000,0,0,1,0,0,0,0,0
64,35.0,2439.0,0.0,0.9968676585747847,2.0,6616.0,2950000,0,0,0,1,0,0,0,0
65,45.0,1548.0,0.0,0.9968676585747847,2.0,0.0,4000000,0,0,0,0,0,1,0,0
66,34.0,1883.0,0.0,0.9964761158966328,1.0,4632.0,3650000,0,0,1,0,0,0,0,0
67,49.0,2864.0,0.0,0.9964761158966328,2.0,0.0,4500000,0,1,0,0,0,0,0,0
68,52.5,2557.0,0.0,0.9964761158966328,2.0,2700.0,4250000,0,0,1,0,0,0,0,0
69,88.0,4981.0,0.0,0.9964761158966328,4.0,0.0,6450000,0,0,1,0,0,0,0,0
70,45.0,3378.0,0.0,0.9964761158966328,2.0,4200.0,3950000,0,0,1,0,0,0,0,0
71,34.0,1403.0,0.0,0.9964761158966328,1.0,5160.0,3450000,0,0,1,0,0,0,0,0
72,34.0,936.0,0.0,0.9964761158966328,1.0,5400.0,3400000,0,0,1,0,0,0,0,0
73,66.0,2343.0,0.0,0.9964761158966328,2.0,0.0,5800000,0,0,0,0,1,0,0,0
74,60.0,2504.0,0.0,0.9964761158966328,3.0,11472.0,6200000,0,0,0,0,1,0,0,0
75,53.0,3435.0,0.0,0.9964761158966328,2.0,4680.0,3350000,0,0,0,0,0,1,0,0
76,94.0,3842.0,0.0,0.9964761158966328,3.0,10000.0,14500000,0,0,0,0,1,0,0,0
77,69.0,3576.0,0.0,0.9964761158966328,3.0,7500.0,6050000,0,0,0,0,0,0,0,1
78,68.0,2511.0,0.0,0.9964761158966328,2.0,0.0,5600000,0,0,0,0,0,1,0,0
79,47.0,2926.0,0.0,0.9964761158966328,2.0,4992.0,4700000,0,0,0,0,0,1,0,0
80,58.0,3780.0,0.0,0.9964761158966328,2.0,3600.0,5150000,0,0,0,0,0,0,0,1
81,57.0,3574.0,0.0,0.9964761158966328,2.0,0.0,5550000,0,0,0,0,0,0,0,1
82,25.0,1334.0,0.0,0.9960845732184808,1.0,4200.0,2750000,0,0,0,0,0,1,0,0
83,48.0,1475.0,0.0,0.9960845732184808,2.0,11100.0,5060000,0,0,0,0,0,1,0,0
84,107.0,6020.0,0.0,0.9960845732184808,4.0,7800.0,8750000,0,0,0,0,0,1,0,0
85,35.0,2056.0,0.0,0.9960845732184808,1.0,5928.0,3200000,0,0,0,0,0,1,0,0
86,47.0,2535.0,0.0,0.9960845732184808,2.0,3960.0,4300000,0,0,0,0,0,1,0,0
87,25.0,1229.0,0.0,0.9960845732184808,1.0,4200.0,2325000,0,0,0,1,0,0,0,0
88,58.0,2881.0,0.0,0.9960845732184808,3.0,0.0,5100000,0,0,0,0,0,1,0,0
89,30.0,1430.0,0.0,0.9960845732184808,1.0,4800.0,3420000,0,0,0,0,0,0,0,1
90,57.0,2796.0,0.0,0.9960845732184808,2.0,8269.0,4300000,0,0,0,0,0,1,0,0
91,38.0,1370.0,0.0,0.9960845732184808,1.0,0.0,3686000,0,0,1,0,0,0,0,0
92,32.0,2239.0,0.0,0.9960845732184808,1.0,1000.0,2970000,0,0,1,0,0,0,0,0
93,82.0,4838.0,0.0,0.9960845732184808,3.0,4800.0,6000000,0,0,1,0,0,0,0,0
94,32.0,2110.0,0.0,0.9960845732184808,1.0,2400.0,2950000,0,0,1,0,0,0,0,0
95,46.0,2222.0,0.0,0.9960845732184808,2.0,5200.0,4050000,0,0,1,0,0,0,0,0
96,49.0,1796.0,0.0,0.9960845732184808,2.0,0.0,4100000,0,0,1,0,0,0,0,0
97,42.0,2233.0,0.0,0.9960845732184808,2.0,7063.0,3620000,0,0,1,0,0,0,0,0
98,75.0,2717.0,0.0,0.9960845732184808,3.0,0.0,7200000,0,1,0,0,0,0,0,0
99,89.0,4186.0,0.0,0.9960845732184808,4.0,9564.0,7825000,0,0,0,0,0,0,0,1
100,65.0,2167.0,0.0,0.9960845732184808,2.0,0.0,6200000,0,0,0,0,1,0,0,0
101,59.0,2735.0,0.0,0.9960845732184808,2.0,0.0,6075000,0,0,0,0,1,0,0,0
102,60.5,2836.0,0.0,0.9960845732184808,3.0,0.0,6210000,0,0,0,0,0,0,0,1
103,75.0,4271.0,0.0,0.9960845732184808,3.0,8180.0,6050000,0,0,0,0,1,0,0,0
104,35.0,2229.0,0.0,0.9956930305403289,2.0,5664.0,3800000,0,0,1,0,0,0,0,0
105,39.5,2073.0,0.0,0.9956930305403289,1.0,3620.0,3400000,0,0,1,0,0,0,0,0
106,65.0,2329.0,0.0,0.9956930305403289,2.0,15816.0,6500000,0,0,1,0,0,0,0,0
107,77.0,3305.0,0.0,0.9956930305403289,3.0,7200.0,8375000,0,0,0,0,0,0,0,1
108,34.0,795.0,0.0,0.9956930305403289,1.0,4800.0,3610000,0,0,0,0,0,0,0,1
109,193.0,6698.0,0.0,0.9956930305403289,6.0,16492.0,17050000,0,0,0,0,0,0,0,1
110,25.0,712.0,11.0,0.9956930305403289,1.0,0.0,3250000,0,0,1,0,0,0,0,0
111,38.0,1365.0,0.0,0.9956930305403289,1.0,4200.0,3415000,0,0,0,0,0,0,0,1
112,92.0,3578.0,0.0,0.9956930305403289,3.0,15360.0,11040000,0,0,0,0,0,0,0,1
113,31.0,1329.0,0.0,0.9956930305403289,1.0,0.0,3250000,0,0,0,0,0,0,0,1
114,27.0,1285.0,0.0,0.9956930305403289,1.0,3000.0,2980000,0,0,0,0,0,0,0,1
115,68.0,2348.0,0.0,0.9956930305403289,3.0,7770.0,7800000,0,0,0,0,0,0,0,1
116,107.0,5568.0,0.0,0.9956930305403289,4.5,0.0,10920000,0,0,0,0,0,0,0,1
117,46.0,2095.0,0.0,0.9956930305403289,2.0,0.0,3900000,0,0,1,0,0,0,0,0
118,28.0,1362.0,0.0,0.9956930305403289,1.0,4800.0,3050000,0,1,0,0,0,0,0,0
119,60.0,3057.0,0.0,0.9956930305403289,2.0,0.0,4875000,0,0,1,0,0,0,0,0
120,43.0,2345.0,0.0,0.9956930305403289,2.0,3000.0,4500000,0,0,1,0,0,0,0,0
121,91.0,2835.0,0.0,0.9956930305403289,3.0,0.0,9550000,0,0,0,0,0,0,0,1
122,46.0,1968.0,0.0,0.9956930305403289,2.0,5000.0,4200000,0,0,0,0,0,1,0,0
123,27.0,565.0,0.0,0.9956930305403289,1.0,3960.0,2720000,0,0,0,0,0,1,0,0
124,166.0,4608.0,0.0,0.9956930305403289,5.0,0.0,19300000,0,0,0,0,1,0,0,0
125,42.0,2381.0,0.0,0.9956930305403289,1.0,0.0,3300000,0,0,0,0,0,1,0,0
126,37.0,2385.0,0.0,0.9956930305403289,1.5,3180.0,3185000,0,0,0,0,0,1,0,0
127,76.0,2859.0,8.0,0.9956930305403289,3.0,0.0,10650000,0,0,0,0,1,0,0,0
128,94.0,3538.0,0.0,0.9956930305403289,4.0,0.0,6900000,0,0,0,0,1,0,0,0
129,46.0,1953.0,0.0,0.995301487862177,2.0,5304.0,4625000,0,0,0,0,1,0,0,0
130,33.0,1788.0,0.0,0.995301487862177,1.0,4200.0,2800000,0,1,0,0,0,0,0,0
131,30.0,1616.0,0.0,0.995301487862177,2.0,3900.0,3850000,0,0,0,0,1,0,0,0
132,34.0,1616.0,0.0,0.995301487862177,2.0,9000.0,3550000,1,0,0,0,0,0,0,0
133,92.0,4498.0,0.0,0.995301487862177,4.0,5400.0,7600000,0,0,1,0,0,0,0,0
134,34.0,2671.0,0.0,0.995301487862177,1.0,3248.0,3215000,0,0,1,0,0,0,0,0
135,46.5,3615.0,0.0,0.9949099451840251,2.0,4800.0,3785000,0,0,1,0,0,0,0,0
136,54.0,3606.0,0.0,0.9949099451840251,2.0,0.0,3310000,0,1,0,0,0,0,0,0
137,59.0,3718.0,0.0,0.9949099451840251,2.0,5548.0,5350000,0,0,1,0,0,0,0,0
138,61.0,3865.0,0.0,0.9945184025058731,3.0,0.0,5450000,0,1,0,0,0,0,0,0
139,38.0,2426.0,0.0,0.9945184025058731,2.0,4200.0,4050000,0,1,0,0,0,0,0,0
140,27.0,1799.0,0.0,0.9945184025058731,1.0,6980.0,2700000,0,0,0,0,0,1,0,0
141,74.0,3480.0,0.0,0.9945184025058731,3.0,4200.0,6250000,0,0,0,0,0,1,0,0
142,49.0,4117.0,0.0,0.9945184025058731,2.0,0.0,5295000,0,1,0,0,0,0,0,0
143,58.0,2538.0,0.0,0.9945184025058731,2.0,3000.0,5450000,0,0,0,0,0,0,0,1
144,68.0,2624.0,0.0,0.9945184025058731,2.0,6000.0,6665000,0,0,0,0,0,0,0,1
145,79.0,2170.0,0.0,0.9945184025058731,3.0,5600.0,7350000,0,0,0,0,1,0,0,0
146,35.0,2083.0,0.0,0.9941268598277212,1.5,0.0,2800000,0,1,0,0,0,0,0,0
147,56.0,2800.0,0.0,0.9941268598277212,3.0,0.0,4700000,0,0,0,0,0,0,0,1
148,42.0,2269.0,0.0,0.9941268598277212,2.0,0.0,3765000,0,0,1,0,0,0,0,0
149,18.5,1499.0,0.0,0.9941268598277212,1.0,4285.0,2450000,0,0,0,0,1,0,0,0
150,114.0,3739.0,0.0,0.9941268598277212,3.0,9000.0,9200000,0,0,1,0,0,0,0,0
151,158.5,5751.0,14.0,0.9941268598277212,5.0,3000.0,10400000,0,0,1,0,0,0,0,0
152,36.0,951.0,0.0,0.9941268598277212,1.5,3720.0,3400000,0,0,0,0,1,0,0,0
153,41.0,2404.0,0.0,0.9941268598277212,1.0,2760.0,3820000,0,0,0,0,0,1,0,0
154,48.0,2470.0,0.0,0.9941268598277212,2.0,0.0,4125000,0,0,0,0,0,1,0,0
155,38.0,1858.0,0.0,0.9941268598277212,1.5,10500.0,4300000,0,0,0,0,1,0,0,0
156,106.0,5299.0,0.0,0.9941268598277212,4.0,0.0,9500000,0,0,1,0,0,0,0,0
157,47.0,1898.0,0.0,0.9941268598277212,2.0,4500.0,4800000,0,0,0,0,1,0,0,0
158,31.0,1455.0,0.0,0.9941268598277212,1.0,6600.0,3300000,0,0,1,0,0,0,0,0
159,141.0,6115.0,0.0,0.9941268598277212,5.0,22300.0,16950000,0,0,1,0,0,0,0,0
160,86.5,3412.0,0.0,0.9941268598277212,3.0,4800.0,6625000,0,0,1,0,0,0,0,0
161,86.0,4629.0,0.0,0.9941268598277212,3.0,8730.0,6335000,0,0,0,0,0,1,0,0
162,127.0,4849.0,0.0,0.9941268598277212,5.0,12000.0,14050000,0,0,0,0,0,1,0,0
163,74.0,3543.0,0.0,0.9941268598277212,3.0,10356.0,5790000,0,1,0,0,0,0,0,0
164,55.0,3358.0,0.0,0.9941268598277212,2.0,7200.0,4800000,0,0,0,0,0,1,0,0
165,36.0,1367.0,0.0,0.9941268598277212,1.5,0.0,3350000,0,0,0,0,0,0,0,1
166,73.0,4335.0,0.0,0.9941268598277212,3.0,0.0,5350000,0,0,0,0,0,1,0,0
167,45.0,1997.0,0.0,0.9941268598277212,2.0,4000.0,4400000,0,0,0,0,0,0,0,1
168,93.5,4805.0,0.0,0.9941268598277212,4.0,7200.0,7925000,0,0,0,0,0,0,0,1
169,41.0,1696.0,0.0,0.9941268598277212,2.0,5548.0,4150000,0,0,1,0,0,0,0,0
170,72.0,4530.0,0.0,0.9941268598277212,3.0,10320.0,5750000,0,0,1,0,0,0,0,0
171,72.0,2953.0,0.0,0.9941268598277212,3.0,5900.0,7160000,0,0,1,0,0,0,0,0
172,30.0,1692.0,0.0,0.9941268598277212,1.0,1944.0,2950000,0,0,1,0,0,0,0,0
173,104.0,4194.0,0.0,0.9941268598277212,4.0,0.0,8800000,0,0,1,0,0,0,0,0
174,80.5,3635.0,0.0,0.9937353171495693,3.0,6252.0,5300000,0,0,1,0,0,0,0,0
175,36.0,1645.0,0.0,0.9937353171495693,1.5,2940.0,3900000,0,0,0,0,0,0,0,1
176,104.0,2299.0,0.0,0.9937353171495693,3.0,0.0,9725000,0,0,0,0,0,0,0,1
177,50.0,2750.0,0.0,0.9937353171495693,2.0,400.0,4825000,0,0,0,0,0,0,0,1
