,index,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris,Biarea,Prisökning
2564,"https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-inedalsgatan-15,-5-tr-1117985",2019-12-05,kungsholmen,122414.0,3700000.0,1.0,29.0,1992.0,3600.0,1911.0,3550000,,-0.04054054054054054
12110,"https://www.hemnet.se/salda/lagenhet-2rum-vasastan-stockholms-kommun-halsingegatan-15,-1tr-1118082",2019-12-05,vasastan,92118.0,7495000.0,2.0,85.0,2878.0,6600.0,1893.0,7830000,,0.04469646430953969
40,"https://www.hemnet.se/salda/lagenhet-1,5rum-katarina-sofia-stockholms-kommun-folkungagatan-101,-3-tr-1118167",2019-12-05,sodermalm,84615.0,2850000.0,1.5,39.0,1331.0,,1975.0,3300000,,0.15789473684210525
41,"https://www.hemnet.se/salda/lagenhet-1,5rum-sodermalm-stockholms-kommun-bjurholmsgatan-37-1118046",2019-12-05,sodermalm,86053.0,2895000.0,1.5,38.0,1948.0,,1927.0,3270000,,0.12953367875647667
7097,https://www.hemnet.se/salda/lagenhet-4rum-ostermalm-stockholms-kommun-sandhamnsgatan-75d-1117986,2019-12-05,gardet,104000.0,9750000.0,4.0,100.0,5256.0,,2018.0,10400000,,0.06666666666666667
42,https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-hogalid-stockholms-kommun-marmorgatan-11-1118016,2019-12-05,sodermalm,86071.0,2090000.0,1.0,28.0,2221.0,4000.0,1952.0,2410000,,0.15311004784688995
43,"https://www.hemnet.se/salda/lagenhet-2rum-katarina-sofia-stockholms-kommun-blekingegatan-57,-3-tr,-1118010",2019-12-05,sodermalm,83231.0,4750000.0,2.0,65.0,3109.0,7800.0,1941.0,5410000,,0.13894736842105262
44,https://www.hemnet.se/salda/lagenhet-2rum-maria-stockholms-kommun-ekehjelmstorget-2-1118133,2019-12-05,sodermalm,78814.0,4190000.0,2.0,59.0,2282.0,5400.0,1983.0,4650000,,0.10978520286396182
5002,"https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-stora-essingen-stockholms-kommun-vanskapsvagen-42,-van-1-1118265",2019-12-05,stora_essingen,72619.0,2495000.0,2.0,42.0,2499.0,4932.0,,3050000,,0.22244488977955912
7093,"https://www.hemnet.se/salda/lagenhet-3rum-gardet-stockholms-kommun-oregrundsgatan-7,-4-tr-1118166",2019-12-05,gardet,74242.0,4795000.0,3.0,66.0,2544.0,,1963.0,4900000,,0.021897810218978103
7094,https://www.hemnet.se/salda/lagenhet-3rum-gardet-ostermalm-stockholms-kommun-sandhamnsgatan-59-1118094,2019-12-05,gardet,79452.0,4995000.0,3.0,73.0,3954.0,4640.0,1966.0,5800000,,0.16116116116116116
7095,"https://www.hemnet.se/salda/lagenhet-1rum-ostermalm-gardet-stockholms-kommun-vartavagen-33,-2-tr-1118061",2019-12-05,gardet,113571.0,2550000.0,1.0,28.0,1167.0,,1934.0,3180000,,0.24705882352941178
38,https://www.hemnet.se/salda/lagenhet-2rum-sodermalm-stockholms-kommun-jagargatan-1-1118267,2019-12-05,sodermalm,84368.0,2995000.0,2.0,43.5,2164.0,3000.0,2005.0,3670000,,0.22537562604340566
7096,"https://www.hemnet.se/salda/lagenhet-2rum-gardet-stockholms-kommun-sandhamnsgatan-53,-3-tr-1118047",2019-12-05,gardet,74000.0,3495000.0,2.0,50.0,2565.0,5600.0,1962.0,3700000,,0.058655221745350504
37,https://www.hemnet.se/salda/lagenhet-1rum-katarina-stockholms-kommun-bondegatan-24-1118378,2019-12-05,sodermalm,110000.0,2495000.0,1.0,27.0,1486.0,,1939.0,2970000,,0.1903807615230461
39,"https://www.hemnet.se/salda/lagenhet-1rum-sodermalm-stockholms-kommun-hornsgatan-90,-4-tr-1118247",2019-12-05,sodermalm,102963.0,2350000.0,1.0,27.0,565.0,5500.0,1928.0,2780000,,0.1829787234042553
12112,"https://www.hemnet.se/salda/lagenhet-3rum-vasastan-stockholms-kommun-upplandsgatan-34,-3-tr-1118441",2019-12-05,vasastan,97384.0,6850000.0,3.0,86.0,3710.0,2400.0,1974.0,8375000,,0.22262773722627738
