,Datum,Område,Pris per kvadratmeter,Begärt pris,Antal rum,Boarea,Avgift/månad,Driftskostnad,Byggår,Slutpris
534,2019-08-19,Vasastan,93103,2495000,1.0,29.0,1593.0,0.0,4500.0,2700000.0
535,2019-08-19,Vasastan/Hagastaden,131579,10000000,3.0,76.0,4447.0,0.0,2019.0,10000000.0
536,2019-08-18,Östermalm,113387,2995000,1.0,31.0,1373.0,0.0,1883.0,3515000.0
537,2019-08-17,Vasastan/Norrmalm/City,81884,5595000,3.0,69.0,3321.0,0.0,1938.0,5650000.0
538,2019-08-16,Östermalm,125000,9200000,3.0,80.0,2825.0,0.0,1885.0,10000000.0
539,2019-08-16,Vasastan - Odenplan,103194,3450000,2.0,36.0,1338.0,0.0,1885.0,3715000.0
540,2019-08-16,ödermalm - Sofia,56763,4995000,3.0,86.5,5234.0,0.0,2003.0,4910000.0
541,2019-08-16,Östermalm,92000,3995000,3.0,50.0,3838.0,0.0,1928.0,4600000.0
542,2019-08-16,Östermalm,113564,9400000,3.0,94.0,1616.0,0.0,1888.0,10675000.0
543,2019-08-16,Kungsholmen - Hornsbergs Strand,72374,7850000,4.0,109.5,3739.0,0.0,4700.0,7925000.0
544,2019-08-16,ödermalm- Maria,81500,3495000,2.0,50.0,2010.0,0.0,4800.0,4075000.0
545,2019-08-15,Kungsholmen,78358,4975000,2.5,67.0,3061.0,0.0,1929.0,5250000.0
546,2019-08-15,Vasastan - Odenplan,89583,3950000,2.0,48.0,2177.0,0.0,1884.0,4300000.0
547,2019-08-15,Vasastan - Odenplan,101061,2995000,1.0,33.0,789.0,0.0,1907.0,3335000.0
548,2019-08-15,Vasastan,80952,3250000,2.0,42.0,2290.0,0.0,1926.0,3400000.0
549,2019-08-15,Fredhäll,86829,3095000,2.0,41.0,2282.0,0.0,4800.0,3560000.0
550,2019-08-15,Kungsholmen,100000,2995000,2.0,35.0,1742.0,0.0,1905.0,3500000.0
551,2019-08-15,Kungsholmen - Fredhäll,75781,4595000,3.0,64.0,2787.0,0.0,1944.0,4850000.0
553,2019-08-15,Kungsholmen - Kristinebergs Strand,81818,4695000,2.0,55.0,3105.0,0.0,1998.0,4500000.0
554,2019-08-15,Vasastan Sibirien,88983,9500000,4.0,118.0,4769.0,0.0,1908.0,10500000.0
555,2019-08-15,Vasastan / Röda Bergen,81860,3520000,1.0,43.0,2333.0,0.0,1923.0,3520000.0
556,2019-08-15,Vasastan / Röda Bergen,117200,2930000,1.5,25.0,1400.0,0.0,1925.0,2930000.0
557,2019-08-15,Kungsholmen - Fredhäll,69022,3175000,2.0,46.0,2796.0,0.0,3200.0,3175000.0
558,2019-08-14,Kungsholmen/Rådhusparken,66629,2895000,1.5,43.9,1690.0,0.0,2016.0,2925000.0
559,2019-08-14,Vasastan,77602,7250000,5.0,98.0,3910.0,0.0,1937.0,7605000.0
560,2019-08-14,Vasastan,93023,3495000,2.0,43.0,1668.0,0.0,1926.0,4000000.0
561,2019-08-14,irkastan,130000,2475000,1.0,20.0,1017.0,0.0,1903.0,2600000.0
562,2019-08-14,Vasastan,116842,4950000,2.0,47.5,3017.0,0.0,1929.0,5550000.0
563,2019-08-14,Kungsholmen,97297,3250000,2.0,37.0,2855.0,0.0,1512.0,3600000.0
564,2019-08-14,Norrmalm,70956,4495000,3.0,68.0,5191.0,0.0,1994.0,4825000.0
565,2019-08-14,Hornstull,89726,5950000,3.0,73.0,2818.0,0.0,4716.0,6550000.0
